company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
WERNICK LTD,06960089,Active,Private limited company,,,2009-07-13,,,32200 90020 90030,Half Acre Station Drive Kirby Muxloe Leicester LE9 2ET England,LE9 2ET,-1.231961,52.626338
EK SDS LIMITED,09900390,Active,Private limited company,,,2015-12-03,,,32200 62020,Barn Gable Main Street Greenodd Ulverston LA12 7QZ England,LA12 7QZ,-3.054145,54.233794
PILGRIM LIMITED,01478186,Active,Private limited company,,,1980-02-08,,,32200,Unit 3a Gatwick Metro Centre Balcombe Road Horley RH6 9GA England,RH6 9GA,-0.157609,51.17628
LAYLAA LTD,15823701,Active,Private limited company,,,2024-07-08,,,10110 32120 32200,128 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
PG PROSSER & SON LTD,NI691905,Active,Private limited company,,,2022-10-17,,,31010 31020 31090 32200,Unit 26 Ledcom Industrial Estate Bank Road Larne BT40 3AW Northern Ireland,BT40 3AW,-5.817836,54.846225
S & K RUSINEK LTD,12400218,Active,Private limited company,,,2020-01-13,,,25620 25990 32200 71129,19 Tidkin Lane Guisborough TS14 8BX England,TS14 8BX,-1.071739,54.52959
KNOBULA LIMITED,13523228,Active,Private limited company,,,2021-07-21,,,32200,19 Kingsbridge Road London W10 6PU England,W10 6PU,-0.222101,51.518517
BIRDTAIL GUITARS LTD,SC605360,Dissolved,Private limited company,,2024-07-23,2018-08-15,,,16290 32200 85590 90030,6 Hillpark Way Blackhall Edinburgh EH4 7BJ Scotland,EH4 7BJ,-3.265467,55.961186
DAVID RATTRAY VIOLINS LIMITED,07587536,Active,Private limited company,,,2011-04-01,,,32200 47591,21 Jonas Drive Wadhurst TN5 6RJ England,TN5 6RJ,0.328359,51.067993
THE SIMS SPRAY SHOP LTD,05288057,Active,Private limited company,,,2004-11-16,,,32200,"Unit 20 Surrenden Manor Old Surrenden Manor Road Bethersden, Ashford TN27 3DL ",TN27 3DL,0.6934713978159118,51.16813603900151
C.A.HESLOP LTD,11489328,Active,Private limited company,,,2018-07-30,,,32200,61 Bridge Street Kington HR5 3DJ United Kingdom,HR5 3DJ,-3.028491,52.20349
TERRA GUITARS LTD,15840676,Active,Private limited company,,,2024-07-16,,,28990 32200,126 St. Lucia Park Bordon GU35 0LE United Kingdom,GU35 0LE,-0.858022,51.119873
MCNALLY GUITARS LTD,NI664862,Active,Private limited company,,,2019-10-04,,,32200,Unit 2a Bluestone Business Park Moyraverty West Road Moyraverty Craigavon BT65 5HU Northern Ireland,BT65 5HU,-6.369941,54.438278
TRU-TONE LIMITED,SC260485,Dissolved,Private limited company,,2024-08-13,2003-12-08,,,32200,68 Tullibody Road Alloa FK10 2NL Scotland,FK10 2NL,-3.801492,56.122423
T R MOORE LTD,10867448,Active,Private limited company,,,2017-07-14,,,32200,"C/O Keith Willis Associates Ltd, Gothic House Barker Gate Nottingham NG1 1JU United Kingdom",NG1 1JU,-1.141746,52.95257
MANCHESTER BENNETT LTD,14055414,Dissolved,Private limited company,,2024-08-13,2022-04-20,,,32200 47591,Hesketh Mount Lord Street Southport PR8 1JR England,PR8 1JR,-3.007559,53.646454
NORMANS (BURTON UPON TRENT) LIMITED,00707581,Active,Private limited company,,,1961-11-08,,,32200 46491 47591,Unit 3 Ryknild Industrial Estate Derby Road Burton-On-Trent DE14 1RZ England,DE14 1RZ,-1.624166,52.821264
REBEL MUSIC LIMITED,15008679,Active,Private limited company,,,2023-07-17,,,32200,47 Eton Avenue London N12 0BD England,N12 0BD,-0.17712,51.60786
RHODES MUSIC GROUP LTD,12015661,Active,Private limited company,,,2019-05-24,,,32200,30-34 North Street Hailsham BN27 1DW United Kingdom,BN27 1DW,0.257675,50.864159
SKY GUITARS LTD,14754270,Dissolved,Private limited company,,2024-09-03,2023-03-24,,,32200 46491 47591 59200,128 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
FLORIAN LEONHARD FINE VIOLINS LTD,08954021,Active,Private limited company,,,2014-03-24,,,32200,Suite 8 20 Churchill Square Kings Hill West Malling ME19 4YU ,ME19 4YU,0.396106,51.273047
X FACTOR MUSIC TUITION & STUDIO SERVICES LIMITED,10488551,Active,Private limited company,,,2016-11-21,,,32200 47591 59200 85600,3 Honeysuckle Close Calne SN11 9TE United Kingdom,SN11 9TE,-2.016765,51.445088
MCLURE CUSTOM GUITARS LTD,SC778282,Active,Private limited company,,,2023-08-07,,,32200,5/3 Bellevue Street Edinburgh EH7 4BX Scotland,EH7 4BX,-3.190809,55.962353
TINY TONE LTD,12473335,Active,Private limited company,,,2020-02-20,,,32200,89 Chorley Road Swinton Manchester M27 4AA England,M27 4AA,-2.336672,53.510652
QU & TAYLOR LIMITED,14321446,Dissolved,Private limited company,,2024-09-10,2022-08-27,,,32200 70229,2 Claybank Villas Blidworth Mansfield NG21 0QS England,NG21 0QS,-1.129583,53.094953
PHONOMEME LIMITED,08388252,Active,Private limited company,,,2013-02-05,,,32200 59112 59200,129 Ferme Park Road London N8 9SG England,N8 9SG,-0.117202,51.579532
TEMPEST GUITARS LTD,12832409,Active,Private limited company,,,2020-08-24,,,32200,Unit 1-06 Mellish Industrial Estate Harrington Way London SE18 5NR England,SE18 5NR,0.043654,51.494475
CAVENDISH GUITARS LIMITED,11741634,Active,Private limited company,,,2018-12-27,,,32200,3 Common Hill Saffron Walden CB10 1JG England,CB10 1JG,0.242225,52.02448
STEVEN TOON TECHNICAL SERVICES LTD,04196236,Active,Private limited company,,,2001-04-06,,,32200,Hats Gloucester Ltd 48 Hucclecote Road Gloucester GL3 3RS United Kingdom,GL3 3RS,-2.195289,51.857848
KIPLONTI LTD,13788899,Active,Private limited company,,,2021-12-08,,,32200 71122,Unit 1 Pearl Assurance House Elbow Lane Tavistock PL19 0BG United Kingdom,PL19 0BG,-4.143928,50.551087
GEORGE POTTER & CO (MUSICAL INSTRUMENTS) LIMITED,12107142,Active,Private limited company,,,2019-07-17,,,32200,145 Newport Road Aldershot GU12 4PY England,GU12 4PY,-0.74495,51.243459
OLD BONES PICKUPS LTD,13626042,Active,Private limited company,,,2021-09-16,,,32200,123 Poplar Hill Stowmarket IP14 2AX England,IP14 2AX,0.992575,52.175581
PROUDMAN LTD,10520251,Active,Private limited company,,,2016-12-12,,,16230 31090 32200 74100,71-75 Shelton Street Covent Garden London WC2H 9JQ England,WC2H 9JQ,-0.123615,51.514897
FIRST LINE DISTRIBUTION LTD,06381014,Active,Private limited company,,,2007-09-25,,,32200,5 Den Road Teignmouth TQ14 8AR United Kingdom,TQ14 8AR,-3.49544,50.545861
THE MODERN BATON LIMITED,12740581,Active,Private limited company,,,2020-07-14,,,32200,Amberwood Abbotswell Road Frogham Fordingbridge SP6 2JB England,SP6 2JB,-1.751072,50.916415
GEORGE SIXSMITH & SON LIMITED,01965807,Active,Private limited company,,,1985-11-27,,,32200,Hillside Organ Works Carrhill Road Mossley OL5 0SE ,OL5 0SE,-2.038964,53.522167
PALM BAY GUITARS LTD,11627370,Active,Private limited company,,,2018-10-17,,,32200 46491,Forest Edge Solomons Lane Shirrell Heath Southampton SO32 2HU England,SO32 2HU,-1.188664,50.926282
TOLF MUSIC LTD,13037641,Active,Private limited company,,,2020-11-23,,,32200,3 Roebuck Lane Newall With Clifton Otley LS21 2EZ England,LS21 2EZ,-1.697503,53.924205
MAKIN ORGANS LIMITED,02895982,Active,Private limited company,,,1994-02-08,,,32200,"Sovereign House 30 Manchester Road, Shaw Oldham OL2 7DE ",OL2 7DE,-2.099688,53.573338
PAXMAN MUSICAL INSTRUMENTS LIMITED,00746437,Active,Private limited company,,,1963-01-09,,,32200,Unit A 197 Long Lane London SE1 4PD England,SE1 4PD,-0.084481,51.499184
SATCH BRASS CONSULTANTS LTD,10810240,Active,Private limited company,,,2017-06-08,,,32200,Action House Studio 1 53 Sandgate Street Southwark London SE15 1LE England,SE15 1LE,-0.062634,51.484355
GOODWIN SONIC LTD,13737088,Active,Private limited company,,,2021-11-11,,,32200,1 Polzeath Gardens Plymouth PL2 3SZ England,PL2 3SZ,-4.14409,50.400159
ROMANILLOS GUITARS LIMITED,06990793,Active,Private limited company,,,2009-08-14,,,32200,The Offices The Horsepond Courtyard Castle Cary BA7 7BD ,BA7 7BD,-2.515541,51.088266
JANE JULIER LTD,13562995,Active,Private limited company,,,2021-08-12,,,32200,Dove Cottage Hemyock Road Cullompton EX15 3JB United Kingdom,EX15 3JB,-3.277052,50.913821
CHRIS ALSOP GUITAR LTD,12707833,Active,Private limited company,,,2020-06-30,,,25730 32200 74100,28 Court Street Woodville Swadlincote DE11 7JJ England,DE11 7JJ,-1.540033,52.771282
GOKHAN KAYA LTD,14798007,Dissolved,Private limited company,,2024-07-23,2023-04-13,,,32200,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
KERRY WHISTLES LIMITED,03396699,Active,Private limited company,,,1997-07-02,,,32200,Verdala Heathfield Copse West Chiltington Pulborough RH20 2NB ,RH20 2NB,-0.464429,50.94629
CRYSTAL ROCKED UK LTD,11549610,Active,Private limited company,,,2018-09-03,,,32200,'The Show House' Merton Abbey Mills Watermill Way London SW19 2RD United Kingdom,SW19 2RD,-0.183184,51.413021
MODULAR PIPE ORGAN SYSTEMS LIMITED,06696345,Active,Private limited company,,,2008-09-12,,,32200,Thames House Roman Square Sittingbourne ME10 4BJ ,ME10 4BJ,0.736779,51.3395
M C THOMPSON ORGAN BUILDERS LIMITED,05556061,Active,Private limited company,,,2005-09-07,,,32200,Curzon Street Business Centre Curzon Street Burton On Trent DE14 2DH ,DE14 2DH,-1.644646,52.806342
"JIABAO MUSICAL INSTRUMENTS CO., LTD",15901854,Active,Private limited company,,,2024-08-16,,,32200 32300 46491 47591,"7 Copperfield Road, Coventry West Midlands, England CV2 4AQ United Kingdom",CV2 4AQ,-1.475151,52.408019
INTELLIGENT MANUFACTURING LTD,13249605,Dissolved,Private limited company,,2022-08-09,2021-03-08,,,32200 32300,86-90 Paul Street London EC2A 4NE United Kingdom,EC2A 4NE,-0.083602,51.525617
ARIELLE MUSIC LTD,13251762,Dissolved,Private limited company,,2022-08-09,2021-03-08,,,32200 59200 90010,132 Kings Chase East Molesey KT8 9DH England,KT8 9DH,-0.358066,51.406196
SIRRI LACIN LTD,13395946,Dissolved,Private limited company,,2023-01-17,2021-05-14,,,32200 46491 96090,284 Chase Road A Block Second Floor London N14 6HF England,N14 6HF,-0.126685,51.63353
YM ENT LTD,13393460,Dissolved,Private limited company,,2022-10-18,2021-05-13,,,32200,25 St. Marys Road London W5 5RE United Kingdom,W5 5RE,-0.304091,51.507123
STINGRAY INSTRUMENTS LTD,SC700815,Dissolved,Private limited company,,2022-05-03,2021-06-07,,,32200 59200,7 St. Martins Place Haddington EH41 4NF Scotland,EH41 4NF,-2.763011,55.951558
STEEL-BAND ACCESSORIES AND DISTRIBUTION LTD,07123043,Dissolved,Private limited company,,2014-07-08,2010-01-12,,,32200,672a Barking Road Newham Plaistow E13 96Z England,E13 96Z,0.026693191049913946,51.52791179690187
TANGIBLEFX LTD,07461717,Dissolved,Private limited company,,2013-11-26,2010-12-07,,,32200,37 North View Westbury Park Bristol BS6 7PY United Kingdom,BS6 7PY,-2.612998,51.479686
VILIUSVERBUS LTD,13537211,Dissolved,Private limited company,,2023-01-31,2021-07-29,,,32200,16 School Street Huddersfield HD5 8AU United Kingdom,HD5 8AU,-1.760863,53.643617
HAXRY INTERNATIONAL LTD,13556708,Dissolved,Private limited company,,2023-01-31,2021-08-09,,,32200,128 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
D-TUNED GUITAR MAINTENANCE LTD,SC723354,Dissolved,Private limited company,,2023-05-23,2022-02-16,,,32200,103 Murroch Crescent Alexandria G83 9QG Scotland,G83 9QG,-4.556944,55.973171
THUMPWORKS LTD,13602246,Dissolved,Private limited company,,2023-12-05,2021-09-03,,,32200,88 Canterbury Street Liverpool L19 8LQ United Kingdom,L19 8LQ,-2.893913,53.347341
THE GREAT BRITISH GUITAR COMPANY LIMITED,13161617,Dissolved,Private limited company,,2022-07-05,2021-01-27,,,32200,27 Old Gloucester Street London WC1N 3AX United Kingdom,WC1N 3AX,-0.122185,51.520593
AMCW INSTRUMENT SERVICES LTD.,SC321505,Dissolved,Private limited company,,2013-03-01,2007-04-18,,,32200,17 Roxburgh Road Hurlford Kilmarnock KA1 5BW ,KA1 5BW,-4.457043,55.59916
DRUMRAN BAGPIPES LIMITED,SC351040,Dissolved,Private limited company,,2013-01-25,2008-11-10,,,32200,1160 Tollcross Road Glasgow G32 8HE United Kingdom,G32 8HE,-4.169036,55.842822
DOADEAR LIMITED,07673141,Dissolved,Private limited company,,2013-07-16,2011-06-17,,,32200,Riverside House 5 Nutfield Lane High Wycombe HP11 2ND United Kingdom,HP11 2ND,-0.765217,51.634743
WESSAR LTD,06261862,Dissolved,Private limited company,,2013-12-24,2007-05-29,,,32200,"1 Fordbrook House Fordbrook Business Centre Marlborough Road, Pewsey SN9 5NU ",SN9 5NU,-1.771417,51.344132
JWC GUITARS LIMITED,07073887,Dissolved,Private limited company,,2023-05-23,2009-11-12,,,32200,Pool House Bannutree Lane Bridstow Ross On Wye HR9 6AJ United Kingdom,HR9 6AJ,-2.606306,51.916238
AYENSU-NTIM PRODUCER LIMITED,14343547,Dissolved,Private limited company,,2024-02-13,2022-09-07,,,32200,81 Phoenix Court Black Eagle Drive Northfleet Gravesend DA11 9AW England,DA11 9AW,0.318992,51.448361
NS STUDIO LTD,13967855,Dissolved,Private limited company,,2023-08-15,2022-03-10,,,18201 32200 47630 59200,20-22 Wenlock Road London N1 7GU England,N1 7GU,-0.09371,51.530737
BESSON MUSIC LIMITED,14228162,Dissolved,Private limited company,,2023-12-19,2022-07-12,,,32200,43a Colin Drive London NW9 6ES England,NW9 6ES,-0.241468,51.584806
WETLAND GUITARS LIMITED,11351670,Dissolved,Private limited company,,2019-10-15,2018-05-09,,,32200,7 Castle Street Bridgwater TA6 3DT United Kingdom,TA6 3DT,-3.0006839290780105,51.12543121276597
AUDIOMARQ LTD,14704753,Dissolved,Private limited company,,2024-04-02,2023-03-03,,,32200 46431 56102 59200,14 Wokingham Road Reading RG6 1JG England,RG6 1JG,-0.948262,51.452714
DEXTER ALEXANDER LIMITED LIMITED,14305248,Dissolved,Private limited company,,2024-01-23,2022-08-18,,,32200,85 John Barnes Walk London E15 4SY England,E15 4SY,0.013011,51.54577
HAIQUAN CHEN LTD,13629434,Dissolved,Private limited company,,2023-03-14,2021-09-17,,,32200,29 Wood Street Stratford Upon Avon Warwickshire CV37 6JG England,CV37 6JG,-1.707832,52.192856
AIYING WANG LTD,13631989,Dissolved,Private limited company,,2023-03-14,2021-09-20,,,32200,13631989: COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
MUSIC AND SPEECH LTD,12994154,Dissolved,Private limited company,,2023-01-17,2020-11-03,,,32200,15 Dudley Street Newport NP19 0FE Wales,NP19 0FE,-2.976611,51.58516
BINGBANGBONG LTD,NI602585,Dissolved,Private limited company,,2015-10-20,2010-03-23,,,32200,8 Lord Warden'S Parade Bangor BT19 1YU ,BT19 1YU,-5.689549,54.639847
AVALON CUSTOM LUTHERIE LTD.,NI614278,Dissolved,Private limited company,,2020-06-30,2012-09-03,,,32200,1-3 Arthur Street Belfast BT1 4GA ,BT1 4GA,-5.928043,54.598278
WELLS KENNEDY PARTNERSHIP LIMITED,NI013649,Dissolved,Private limited company,,2023-01-17,1979-06-06,,,32200,85-87 Gregg Street Lisburn Co.Antrim BT27 5AW ,BT27 5AW,-6.033735,54.51031
BULLDOG SOUND LTD,11953004,Dissolved,Private limited company,,2021-09-07,2019-04-18,,,32200,Mayfield House Mayfield House Sculcoates Lane Hull HU5 1DR England,HU5 1DR,-0.37633247227533445,53.75999101816442
G.H.M MUSIC PRODUCTION LTD,12488437,Dissolved,Private limited by guarantee without share capital,,2022-04-19,2020-02-27,,,32200,15 Sovereign House Stirling Close Rainham RM13 9NG England,RM13 9NG,0.198335,51.521318
WORLD3MUSIC LTD.,12171211,Dissolved,Private limited company,,2021-12-21,2019-08-23,,,32200,44 Braishfield Road Havant PO9 2HS England,PO9 2HS,-0.97752,50.86412
ALDEN GUITARS LIMITED,10775840,Dissolved,Private limited company,,2019-12-17,2017-05-17,,,32200,2 Bishopstone Farm Cottages Bishopstone Lane Ansty Haywards Heath RH17 5AR England,RH17 5AR,-0.170108,50.982081
WR GUITARS LTD,12297885,Dissolved,Private limited company,,2021-06-29,2019-11-05,,,32200,36 Higher Street Brixham TQ5 8HW England,TQ5 8HW,-3.514496,50.395949
BRASS SOUNDS LTD,12300246,Dissolved,Private limited company,,2022-02-08,2019-11-06,,,32200 47591,23-27 Bolton Street Chorley PR7 3AA England,PR7 3AA,-2.63061,53.649853
BRENDAN POWER LIMITED,10576063,Active,Private limited company,,,2017-01-23,,,32200,3 Tyler Close Canterbury CT2 7BD United Kingdom,CT2 7BD,1.077753,51.292789
RIOGA BANJOS LTD,NI694412,Active,Private limited company,,,2023-02-10,,,32200,3a Lower Slievenacloy Road Lisburn BT28 3XT Northern Ireland,BT28 3XT,-6.127883,54.578058
THIS MACHINE LTD,15226247,Active,Private limited company,,,2023-10-21,,,32200,74 Holmhirst Road Sheffield S8 0GW England,S8 0GW,-1.482821,53.342517
SILVERWOOD INSTRUMENTS LTD,13169622,Active,Private limited company,,,2021-02-01,,,32200 47591,Lilac Cottage Litchborough Road Farthingstone Towcester NN12 8EY England,NN12 8EY,-1.098964,52.19173
MENTORING THROUGH MAKING C.I.C.,13152279,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2021-01-22,,,16290 32200 47591,76 Glebe Lane Maidstone ME16 9BD England,ME16 9BD,0.477009,51.262513
THEDUBE LIMITED,07845857,Active,Private limited company,,,2011-11-14,,,32200,7 St. Petersgate Stockport SK1 1EB England,SK1 1EB,-2.158064,53.409982
MAUDE GUITARS LTD,16048121,Active,Private limited company,,,2024-10-29,,,32200,31 Ambleside Road Maghull Liverpool L31 6BY United Kingdom,L31 6BY,-2.939259,53.517106
FAIRFAX VIOLINS LIMITED,08830842,Active,Private limited company,,,2014-01-03,,,32200,Linden House Linden Close Tunbridge Wells TN4 8HH England,TN4 8HH,0.256735,51.124673
LOW FREQUENCY LTD,14371787,Active,Private limited company,,,2022-09-22,,,32200 59200 62012,10 Arnould Avenue London SE5 8AU England,SE5 8AU,-0.087413,51.462523
GLASGOW SYNTH GUILD LTD,SC823770,Active,Private limited company,,,2024-09-25,,,32200,Westgate House Seedhill Paisley PA1 1JE United Kingdom,PA1 1JE,-4.414555,55.842461
Q.M.T. (YORKSHIRE) LIMITED,04041373,Dissolved,Private limited company,,2024-10-01,2000-07-26,,,28490 32200 90030,25 Park Avenue Falsgrave Scarborough YO12 4AG ,YO12 4AG,-0.421582,54.275091
XCCV LTD,14973192,Dissolved,Private limited company,,2024-10-22,2023-06-30,,,32200,124 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
A. J. & L. TAYLOR UK LTD,05954015,Active,Private limited company,,,2006-10-03,,,32200,3 Thorpe Street Ramsbottom Bury BL0 9QJ ,BL0 9QJ,-2.324103,53.641763
OKAN VIOLINS LTD,14327655,Active,Private limited company,,,2022-08-31,,,32200 46900,Flat 15 14 Hoffmans Road London E17 6ZG United Kingdom,E17 6ZG,-0.042095,51.58885
FIELDTONE LTD,16025377,Active,Private limited company,,,2024-10-17,,,32200,114 Crisp Road Lewes BN7 2TY England,BN7 2TY,-0.005768,50.882952
MANSON GUITAR WORKS LIMITED,08393645,Active,Private limited company,,,2013-02-07,,,32200,Unit C2 Linhay Business Park Ashburton Newton Abbot TQ13 7UP ,TQ13 7UP,-3.741355,50.523053
FUZZ CASES LIMITED,13220732,Active,Private limited company,,,2021-02-24,,,32200,Danum House 6a South Parade Doncaster DN1 2DY England,DN1 2DY,-1.12574,53.520942
TRASH MUSIC PROJECTS LTD,SC691178,Active,Private limited by guarantee without share capital,,,2021-03-04,,,32200 85520 90010,The Mugshack 4 Allander Walk Cumbernauld Centre Cumbernauld G67 1DW United Kingdom,G67 1DW,-3.989411,55.946815
ELECTRIC WOOD LIMITED,06882331,Active,Private limited company,,,2009-04-20,,,32200,"The Old Cattle Shed, Barracks Farm Cobham Road Fetcham Leatherhead KT22 9TP England",KT22 9TP,-0.360346,51.300906
REVERB LIMITED,12556732,Active,Private limited company,,,2020-04-15,,,32200,Unit 3 Sawtry Court Brookside Sawtry PE28 5SB England,PE28 5SB,-0.2848,52.443507
JEWBRAND LTD,14974640,Dissolved,Private limited company,,2024-12-03,2023-07-03,,,32120 32130 32200,128 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
AVALON GUITARS LIMITED,NI723923,Active,Private limited company,,,2024-11-21,,,32200,8 Glenford Way Newtownards BT23 4BX Northern Ireland,BT23 4BX,-5.706884,54.598287
SM GUITARS UK LIMITED,14823715,Dissolved,Private limited company,,2024-10-01,2023-04-24,,,32200,Bankfield Business Hub 32 Bankfield Street Liverpool L20 8EJ England,L20 8EJ,-2.997775,53.435481
GRAIN GUITARS LTD,10406158,Dissolved,Private limited company,,2024-10-15,2016-10-01,,,32200,28 Bycullah Avenue Enfield EN2 8DN United Kingdom,EN2 8DN,-0.094616,51.656017
TONEALLY LTD.,10986712,Active,Private limited company,,,2017-09-28,,,32200 59200 85600 90010,101 Prince Consort Road Prince Consort Road Jarrow NE32 5XE United Kingdom,NE32 5XE,-1.482307,54.976697
HEADWAY MUSIC AUDIO LTD,05685289,Active,Private limited company,,,2006-01-24,,,32200,Twelve Quays House Egerton Wharf Wirral CH41 1LD England,CH41 1LD,-3.018401,53.399092
